"train no.","train name","starts","ends"
"12723","Andhra Pradesh Express","Hyderabad Decan","New Delhi"
"22416","Andhra Pradesh Express","New Delhi","Vishakapatnam"
"12724","Andhra Pradesh Express","New Delhi","Hyderabad Decan"
"12707","Andhra Pradesh Sampark Kranti","Tirupati","H Nizamuddin"
"15609","Abadh Assam Express","New Tinsukia Junction","Darbhanga Junction"
"15909","Abadh Assam Express","New Tinsukia Junction","Darbhanga Junction"
"18242","Abkp Durg Passenger E","Ambikapur","Durg"
"11266","Abkp Jbp Express","Ambikapur","Jabalpur"
"54703","Abs Ju Passengr","Abohar","Jodhpur Junction"
"07509","Adb Qln Special","Adilabad","Kollam Junction"
"09427","Adi Ald Special","Ahmedabad Junction","Allahabad Junction"
"09018","Adi Bct Ac Special","Ahmedabad Junction","Mumbai Central"
"14804","Adi Bgkt Express","Ahmedabad Junction","Bhagat Ki Kothi"
"04804","Adi Bgkt Special","Ahmedabad Junction","Bhagat Ki Kothi"
"09421","Adi Bme Ac Special","Ahmedabad Junction","Barmer"
"19130","Adi Brc Intercity","Ahmedabad Junction","Vadodara Junction"
"02713","Adi Bza Superfast Special","Ahmedabad Junction","Vijayawada Junction"
"19420","Adi Chennai Express","Ahmedabad Junction","Chennai Central"
"09417","Adi Dee Premium","Ahmedabad Junction","Delhi S Rohilla"
"12931","Adi Double Deck","Mumbai Central","Ahmedabad Junction"
"12267","Adi Duronto Express","Mumbai Central","Ahmedabad Junction"
"12298","Adi Duronto Express","Pune Junction","Ahmedabad Junction"
"09425","Adi Jaipur Special","Ahmedabad Junction","Jaipur"
"19223","Adi Jat Express","Ahmedabad Junction","Jammu Tawi"
"09413","Adi Lucknow Special","Ahmedabad Junction","Lucknow Nr"
"09420","Adi Majn Superfast Special","Ahmedabad Junction","Mangalore Junction"
"09411","Adi Patna Special","Ahmedabad Junction","Patna Junction"
"18406","Adi Puri Express","Ahmedabad Junction","Puri"
"12844","Adi Puri Express","Ahmedabad Junction","Puri"
"12958","Adi Sj Rajdhani","New Delhi","Ahmedabad Junction"
"19415","Adi Svdk Express","Ahmedabad Junction","Shmata V D Ktra"
"19944","Adi Udz Express","Ahmedabad Mg","Udaipur City"
"19407","Adi Varanasi Express","Ahmedabad Junction","Varanasi Junction"
"16501","Adi Ypr Express","Ahmedabad Junction","Yesvantpur Junction"
"12547","Af Adi Superfast Express","Agra Fort","Ahmedabad Junction"
"12195","Af Aii Intercity","Agra Fort","Ajmer Junction"
"09612","Af Aii Special","Agra Fort","Ajmer Junction"
